mip_era,activity_id,institution_id,source_id,experiment_id,member_id,table_id,grid_label,version,frequency,instance_id,realm,variable_id
CMIP6,AerChemMIP,BCC,BCC-ESM1,ssp370,r1i1p1f1,day,gn,20190624,day,CMIP6.AerChemMIP.BCC.BCC-ESM1.ssp370.r1i1p1f1.day.tas.gn.v20190624,atmos,tas
CMIP6,AerChemMIP,BCC,BCC-ESM1,ssp370,r2i1p1f1,day,gn,20190702,day,CMIP6.AerChemMIP.BCC.BCC-ESM1.ssp370.r2i1p1f1.day.tas.gn.v20190702,atmos,tas
CMIP6,AerChemMIP,BCC,BCC-ESM1,ssp370,r3i1p1f1,day,gn,20190624,day,CMIP6.AerChemMIP.BCC.BCC-ESM1.ssp370.r3i1p1f1.day.tas.gn.v20190624,atmos,tas
CMIP6,ScenarioMIP,AS-RCEC,TaiESM1,ssp370,r1i1p1f1,3hr,gn,20211026,3hrPt,CMIP6.ScenarioMIP.AS-RCEC.TaiESM1.ssp370.r1i1p1f1.3hr.tas.gn.v20211026,atmos,tas
CMIP6,ScenarioMIP,AS-RCEC,TaiESM1,ssp370,r1i1p1f1,6hrPlevPt,gn,20211026,6hrPt,CMIP6.ScenarioMIP.AS-RCEC.TaiESM1.ssp370.r1i1p1f1.6hrPlevPt.tas.gn.v20211026,atmos,tas
CMIP6,ScenarioMIP,AS-RCEC,TaiESM1,ssp370,r1i1p1f1,6hrPlevPt,gn,20211026,6hrPt,CMIP6.ScenarioMIP.AS-RCEC.TaiESM1.ssp370.r1i1p1f1.6hrPlevPt.ts.gn.v20211026,atmos,ts
CMIP6,ScenarioMIP,AS-RCEC,TaiESM1,ssp370,r1i1p1f1,day,gn,20210323,day,CMIP6.ScenarioMIP.AS-RCEC.TaiESM1.ssp370.r1i1p1f1.day.tas.gn.v20210323,atmos,tas
CMIP6,ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r1i1p1f1,3hr,gn,20190529,3hrPt,CMIP6.ScenarioMIP.AWI.AWI-CM-1-1-MR.ssp370.r1i1p1f1.3hr.tas.gn.v20190529,atmos,tas
CMIP6,ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r1i1p1f1,day,gn,20190529,day,CMIP6.ScenarioMIP.AWI.AWI-CM-1-1-MR.ssp370.r1i1p1f1.day.tas.gn.v20190529,atmos,tas
CMIP6,ScenarioMIP,AWI,AWI-CM-1-1-MR,ssp370,r2i1p1f1,3hr,gn,20190529,3hrPt,CMIP6.ScenarioMIP.AWI.AWI-CM-1-1-MR.ssp370.r2i1p1f1.3hr.tas.gn.v20190529,atmos,tas
