mip_era,activity_id,institution_id,source_id,experiment_id,member_id,table_id,grid_label,version,frequency,instance_id,realm,variable_id
CMIP6,ScenarioMIP,CAS,FGOALS-g3,ssp126,r4i1p1f1,day,gn,20200927,day,CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp126.r4i1p1f1.day.tas.gn.v20200927,atmos,tas
CMIP6,ScenarioMIP,CCCR-IITM,IITM-ESM,ssp126,r1i1p1f1,3hr,gn,20200915,3hrPt,CMIP6.ScenarioMIP.CCCR-IITM.IITM-ESM.ssp126.r1i1p1f1.3hr.tas.gn.v20200915,atmos,tas
CMIP6,ScenarioMIP,CCCR-IITM,IITM-ESM,ssp126,r1i1p1f1,3hr,gn,20201112,3hrPt,CMIP6.ScenarioMIP.CCCR-IITM.IITM-ESM.ssp126.r1i1p1f1.3hr.tas.gn.v20201112,atmos,tas
CMIP6,ScenarioMIP,CCCR-IITM,IITM-ESM,ssp126,r1i1p1f1,day,gn,20200915,day,CMIP6.ScenarioMIP.CCCR-IITM.IITM-ESM.ssp126.r1i1p1f1.day.tas.gn.v20200915,atmos,tas
CMIP6,ScenarioMIP,CCCR-IITM,IITM-ESM,ssp126,r1i1p1f1,day,gn,20201112,day,CMIP6.ScenarioMIP.CCCR-IITM.IITM-ESM.ssp126.r1i1p1f1.day.tas.gn.v20201112,atmos,tas
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r10i1p1f1,Eday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r10i1p1f1.Eday.ts.gn.v20190429,atmos,ts
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r10i1p1f1,day,gn,20190306,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r10i1p1f1.day.tas.gn.v20190306,atmos,tas
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r10i1p1f1,day,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r10i1p1f1.day.tas.gn.v20190429,atmos,tas
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r10i1p2f1,Eday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r10i1p2f1.Eday.ts.gn.v20190429,atmos,ts
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r10i1p2f1,day,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r10i1p2f1.day.tas.gn.v20190429,atmos,tas
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r11i1p1f1,Eday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r11i1p1f1.Eday.ts.gn.v20190429,atmos,ts
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r11i1p1f1,day,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r11i1p1f1.day.tas.gn.v20190429,atmos,tas
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r11i1p2f1,Eday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r11i1p2f1.Eday.ts.gn.v20190429,atmos,ts
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r11i1p2f1,day,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r11i1p2f1.day.tas.gn.v20190429,atmos,tas
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r12i1p1f1,Eday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r12i1p1f1.Eday.ts.gn.v20190429,atmos,ts
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r12i1p1f1,day,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r12i1p1f1.day.tas.gn.v20190429,atmos,tas
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r12i1p2f1,Eday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r12i1p2f1.Eday.ts.gn.v20190429,atmos,ts
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r12i1p2f1,day,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r12i1p2f1.day.tas.gn.v20190429,atmos,tas
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r13i1p1f1,Eday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r13i1p1f1.Eday.ts.gn.v20190429,atmos,ts
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r13i1p1f1,day,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r13i1p1f1.day.tas.gn.v20190429,atmos,tas
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r13i1p2f1,Eday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r13i1p2f1.Eday.ts.gn.v20190429,atmos,ts
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r13i1p2f1,day,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r13i1p2f1.day.tas.gn.v20190429,atmos,tas
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r14i1p1f1,Eday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r14i1p1f1.Eday.ts.gn.v20190429,atmos,ts
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r14i1p1f1,day,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r14i1p1f1.day.tas.gn.v20190429,atmos,tas
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r14i1p2f1,Eday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r14i1p2f1.Eday.ts.gn.v20190429,atmos,ts
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r14i1p2f1,day,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r14i1p2f1.day.tas.gn.v20190429,atmos,tas
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r15i1p1f1,Eday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r15i1p1f1.Eday.ts.gn.v20190429,atmos,ts
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r15i1p1f1,day,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r15i1p1f1.day.tas.gn.v20190429,atmos,tas
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r15i1p2f1,Eday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r15i1p2f1.Eday.ts.gn.v20190429,atmos,ts
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r15i1p2f1,day,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r15i1p2f1.day.tas.gn.v20190429,atmos,tas
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r16i1p1f1,Eday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r16i1p1f1.Eday.ts.gn.v20190429,atmos,ts
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r16i1p1f1,day,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r16i1p1f1.day.tas.gn.v20190429,atmos,tas
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r16i1p2f1,Eday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r16i1p2f1.Eday.ts.gn.v20190429,atmos,ts
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r16i1p2f1,day,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r16i1p2f1.day.tas.gn.v20190429,atmos,tas
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r17i1p1f1,Eday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r17i1p1f1.Eday.ts.gn.v20190429,atmos,ts
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r17i1p1f1,day,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r17i1p1f1.day.tas.gn.v20190429,atmos,tas
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r17i1p2f1,Eday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r17i1p2f1.Eday.ts.gn.v20190429,atmos,ts
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r17i1p2f1,day,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r17i1p2f1.day.tas.gn.v20190429,atmos,tas
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r18i1p1f1,Eday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r18i1p1f1.Eday.ts.gn.v20190429,atmos,ts
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r18i1p1f1,day,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r18i1p1f1.day.tas.gn.v20190429,atmos,tas
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r18i1p2f1,Eday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r18i1p2f1.Eday.ts.gn.v20190429,atmos,ts
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r18i1p2f1,day,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r18i1p2f1.day.tas.gn.v20190429,atmos,tas
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r19i1p1f1,Eday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r19i1p1f1.Eday.ts.gn.v20190429,atmos,ts
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r19i1p1f1,day,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r19i1p1f1.day.tas.gn.v20190429,atmos,tas
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r19i1p2f1,Eday,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r19i1p2f1.Eday.ts.gn.v20190429,atmos,ts
CMIP6,ScenarioMIP,CCCma,CanESM5,ssp126,r19i1p2f1,day,gn,20190429,day,CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126.r19i1p2f1.day.tas.gn.v20190429,atmos,tas
