      1 ### CCAM+BARPA_historical_3hrPt_6hrPt_day_tos__.csv
      2 SAM0-UNICON
      1 ### CCAM+BARPA_historical_3hrPt_6hrPt__ua__.csv
      2 TaiESM1
      3 AWI-ESM-1-1-LR
      3 BCC-CSM2-MR
      2 FGOALS-f3-L
      5 FGOALS-g3
      3 CanESM5
      2 CMCC-CM2-HR4
     14 CMCC-CM2-SR5
      2 CMCC-ESM2
      3 CNRM-CM6-1
      2 CNRM-CM6-1-HR
      1 CNRM-ESM2-1
     20 ACCESS-ESM1-5
      6 ACCESS-CM2
     37 EC-Earth3
      3 EC-Earth3-AerChem
      1 EC-Earth3-CC
     15 EC-Earth3-Veg
      3 EC-Earth3-Veg-LR
     15 MPI-ESM-1-2-HAM
      2 IPSL-CM5A2-INCA
     66 IPSL-CM6A-LR
      2 IPSL-CM6A-LR-INCA
      1 KIOST-ESM
     65 MIROC-ES2L
     11 MIROC6
      3 HadGEM3-GC31-LL
      2 HadGEM3-GC31-MM
      5 UKESM1-0-LL
     60 MPI-ESM1-2-HR
    100 MPI-ESM1-2-LR
     11 MRI-ESM2-0
      4 GISS-E2-1-G
      4 CESM2
      6 NorESM2-LM
      7 NorESM2-MM
      6 KACE-1-0-G
      1 GFDL-CM4
      3 GFDL-ESM4
     10 NESM3
      2 SAM0-UNICON
      1 ### CCAM+BARPA_historical_3hrPt_6hrPt__va__.csv
      2 TaiESM1
      3 AWI-ESM-1-1-LR
      4 BCC-CSM2-MR
      2 FGOALS-f3-L
      5 FGOALS-g3
      3 CanESM5
      2 CMCC-CM2-HR4
     14 CMCC-CM2-SR5
      2 CMCC-ESM2
      3 CNRM-CM6-1
      2 CNRM-CM6-1-HR
      1 CNRM-ESM2-1
     20 ACCESS-ESM1-5
      6 ACCESS-CM2
     37 EC-Earth3
      3 EC-Earth3-AerChem
      1 EC-Earth3-CC
     15 EC-Earth3-Veg
      3 EC-Earth3-Veg-LR
     15 MPI-ESM-1-2-HAM
      2 IPSL-CM5A2-INCA
     66 IPSL-CM6A-LR
      2 IPSL-CM6A-LR-INCA
      1 KIOST-ESM
     65 MIROC-ES2L
     11 MIROC6
      3 HadGEM3-GC31-LL
      2 HadGEM3-GC31-MM
      5 UKESM1-0-LL
     60 MPI-ESM1-2-HR
    100 MPI-ESM1-2-LR
     11 MRI-ESM2-0
      4 GISS-E2-1-G
      2 CESM2
      6 NorESM2-LM
      6 NorESM2-MM
      3 KACE-1-0-G
      1 GFDL-CM4
      3 GFDL-ESM4
     10 NESM3
      2 SAM0-UNICON
